kyA: kyA/__p
caMpA: kAl/A__n
caMpaka: rAw/a__n
caMpAkalI: None
caMpawa: None
caMta: None
camUcara: None
camUhara: None
camUnAyaka: None
caMxa: wIn/a__adj
CaMxa: rAw/a__n
caMxA: bAlikA/__adj
caMxAmAmA: None
caMxana: rAw/a__n
CaMxaprabaMXa: None
CaMxaSAswra: None
caMxrabAlA: None
caMxraBAnu: None
caMxrabiMba: None
caMxrabiMxu: None
caMxragrahaNa: None
caMxra: rAw/a__n
caMxrA: kAl/A__n
caMxrakalA: kAl/A__n
caMxrakAMwA: None
caMxrakAMwa: None
caMxrakAMwi: None
caMxramA: pIdZ/A__n
caMxramAlA: None
caMxramaMdala: None
caMxramOli: None
caMxramuKa: None
caMxramuKI: None
caMxrapraBA: None
caMxravaMSI: None
caMxravaMSIya: None
caMxrawAla: rAw/a__n
caMxraXara: None
cAMxrAyaNa: None
caMxrikA: kAl/A__n
caMxroxaya: None
CAnabIna: rAw/a__n
canA: kAl/A__adj
Cana: uT/a__v
CAna: uT/a__v
CanakA: None
Canaka: None
cANakya: None
CananI: None
canAra: None
CanavA: None
CapaCapA: None
CApa: uT/a__v
CapA: W/A__v
cApa: rAw/a__n
Capa: uT/a__v
CapAI: ladak/I__n
Capaka: None
CApAKAnA: None
capala: None
capalA: None
capalawA: None
cApalUsa: None
cApalUsI: None
CApAmAra: rAw/a__n
caparAsI: ladak/I__n
capatA: kAl/A__adj
capawa: rAw/a__n
capAwI: ladak/I__n
Capaxa: None
capetA: None
capeta: uT/a__v
cappA: kAl/A__adj
cappala: rAw/a__n
CappanaBoga: None
Cappana: None
Cappara: rAw/a__n
cappU: bah/U__n
carabI: None
carabIxAra: None
carAcara: None
caracarA: None
carAgAha: rAw/a__n
CaraharA: None
cAra: Karc/a__n
carA: KA/__v
cara: k/ara__v
cArA: kAl/A__n
carAI: ladak/I__n
caraKA: None
caraka: None
cAraKAnA: None
caraKI: None
carama: wIn/a__adj
caramarA: W/A__v
caramasImA: None
caramowpAxana: None
caraNacihna: rAw/a__n
caraNagupwa: None
caraNa: rAw/a__n
cAraNa: None
caraNakamala: None
caraNAmqwa: None
caraNAraviMxa: None
caraNaxAsa: None
caraNaxAsI: None
caranI: None
cArapAI: ladak/I__n
caraparA: None
cArapAyA: None
carasa: None
carasA: None
caravAhA: kAl/A__adj
caravAhI: ladak/I__n
cArawAla: None
cAraXAma: rAw/a__n
cAraxina: None
cAraxIvArI: ladak/I__n
carbI: None
carcA: pIdZ/A__n
carca: Karc/a__n
carciwa: wIn/a__adj
carI: None
cArI: None
cariwa: None
cariwArWa: wIn/a__adj
cariwArWawA: None
cAriwArWya: None
cariwrahIna: None
cariwra: rAw/a__n
cariwranAyaka: None
cariwravAna: None
cArja: rAw/a__n
carKA: None
carma: rAw/a__n
carmakAra: None
carmakArI: None
CarrA: None
cArta: rAw/a__n
cAru: None
cArunewra: None
cAruxarSanA: None
cArvAka: None
carviwa: None
caryA: None
casakA: None
cASanI: ladak/I__n
CAsaTa: None
caSmA: kAl/A__adj
caSmaxIxa: wIn/a__adj
cAta: uT/a__v
CaTa: Karc/a__n
catA: KA/__v
CatA: kAl/A__n
cata: uT/a__v
catAI: ladak/I__n
catAIxAra: None
cataka: uT/a__v
catakA: KA/__v
cataKA: None
Cataka: None
catakanI: None
cataKArA: None
catakaxAra: None
catakIlA: kAl/A__adj
catanI: ladak/I__n
CatapatAhata: None
CatapatA: None
catapatA: kAl/A__adj
catapatI: ajAwI/__adj
CaTI: ajAwI/__adj
catorA: None
cattA: None
cattAna: rAw/a__n
cattAnI: ajAwI/__adj
cattI: None
cattU: None
cAtu: None
cAtukAra: rAw/a__n
cAtukArI: None
cAva: rAw/a__n
CavAI: None
cAvala: rAw/a__n
cavAlIsa: None
CAvanI: ladak/I__n
cavannI: None
Cavi: SAnwi/__n
CAwA: kAl/A__adj
Cawa: rAw/a__n
cAwaka: rAw/a__n
CawarI: ladak/I__n
CAwI: ladak/I__n
CawracCAyA: None
Cawra: None
CAwra: rAw/a__n
CAwranAyaka: None
CAwrAvAsa: rAw/a__n
CAwravqwwi: SAnwi/__n
CawraXArI: None
CawrI: ladak/I__n
cawura: wIn/a__adj
cawurAI: ladak/I__n
cawuRkoNa: None
cAwurmAsya: None
cawurmuKi: None
cawuRpaWa: None
cawuRpaxa: None
cawuRtaya: None
cAwurvarNya: None
cawurWa: wIn/a__adj
cawurwA: None
cawurWakAla: None
cawurWAMSa: None
cawurWASrama: None
cawurWI: ajAwI/__adj
cawurWIkriyA: None
cawurWIwawpuruRa: None
cawurxaSa: None
CawwA: None
CawwIsa: rAw/a__n
CawwIsavAz: None
CaxAma: None
cAxara: rAw/a__n
Caxma: None
CaxmAvaraNa: None
CaxmaveSa: None
CaxmaveSI: None
caxxara: None
CAyAciwra: None
CAyAciwraNa: None
cAya: rAw/a__n
CAyA: kAl/A__n
cayana: rAw/a__n
cayanaSIla: None
cayanikA: None
cayanIya: None
cAyapAnI: None
cAyaxAna: None
cAyaxAnI: None
CAyAxAra: wIn/a__adj
cAzdAla: None
CAzha: None
cAzsa: None
cAztA: None
Cazta: None
CAzta: None
CaztAI: None
CaztanI: None
cazvara: None
cAzxa: rAw/a__n
cAzxamArI: None
cAzxanI: ladak/I__n
cAzxasUraja: None
cAzxatIkA: None
cazxavA: None
cAzxawArA: None
cAzxI: ladak/I__n
cecaka: rAw/a__n
CedaCAda: None
Ceda: uT/a__v
CedaKAnI: None
ceharA: kAl/A__adj
CE: None
cekabuka: None
ceka: rAw/a__n
Ceka: None
celA: kAl/A__n
CElA: None
cEleMja: rAw/a__n
ceMbara: rAw/a__n
CeMka: None
cEMpiyana: rAw/a__n
cEna: rAw/a__n
cena: rAw/a__n
CenI: None
cepI: None
ceRtA: kAl/A__n
ceRtiwa: None
cesa: None
cEwa: None
cewa: uT/a__v
cewana: None
cewanA: kAl/A__n
cewanIya: None
cEwanya: rAw/a__n
cewAvanI: ladak/I__n
cEwra: None
cEwya: None
Cexa: None
Cexana: None
ceyara: rAw/a__n
ceyaramEna: rAw/a__n
Cezka: None
CiCalA: None
CICAlexara: rAw/a__n
ciciMdA: None
CiCorA: None
CiCorapana: None
cidacidA: None
cidacidApana: None
ciDA: None
cIda: None
cidA: None
ciDa: None
Cida: None
Cidaka: None
CidakAva: rAw/a__n
cidI: None
cidiyA: None
cidiyAKAnA: None
CigunI: None
Cihawwara: None
CihawwaravAz: None
cihna: rAw/a__n
cihnakArI: None
cihnAMkana: None
cihnAMkiwa: None
cihnaXara: None
cihnaXAriNI: None
cihniwa: wIn/a__adj
CI: None
cIja: rAw/a__n
CIja: None
CIkA: None
cika: None
cIKa: uT/a__v
Cika: None
cikanAhata: None
cikanA: kAl/A__adj
cikanAI: ladak/I__n
cikanI: ladak/I__n
cIKapukAra: None
cikila: None
cikIrRA: None
cikIrRiwa: None
cikiwsA: pIdZ/A__n
cikiwsaka: rAw/a__n
cikiwsAlaya: rAw/a__n
cikiwsAvijFAna: None
cikiwsAvyavasAya: None
cikiwsAvyavasAyI: None
cikotI: None
cilabilA: None
cIla: None
Cila: uT/a__v
CIla: uT/a__v
CilakA: kAl/A__adj
cilamabaraxAra: None
cilamacata: None
cilamacI: None
cilamagarxA: None
cilama: None
cilamapoSa: None
CIlana: None
CilavA: None
cillAhata: None
cillA: KA/__v
cImada: None
cimanI: ladak/I__n
cimatA: None
cimata: None
cimatI: None
ciMGAda: None
CImI: None
CIMkA: None
CIMka: uT/a__v
ciMpAMjI: None
CIMta: Karc/a__n
cIMtA: None
CIMtA: kAl/A__adj
cIMtI: None
ciMwA: pIdZ/A__n
ciMwAjanaka: wIn/a__adj
ciMwaka: None
ciMwAkula: None
ciMwAmagna: None
ciMwana: rAw/a__n
ciMwanaSIla: None
ciMwanIya: None
ciMwiwa: wIn/a__adj
cinagArI: None
cIna: rAw/a__n
Cina: uT/a__v
CIna: uT/a__v
cinAI: None
CinavA: None
cinha: rAw/a__n
cInI: ajAwI/__adj
cInImittI: None
ciniyAbAxAma: None
ciniyA: None
cinwA: pIdZ/A__n
cinmaya: None
CinnabaMXana: None
CinnaBinna: None
Cinna: wIn/a__adj
cipacipAhata: rAw/a__n
cipacipA: None
cIPa: wIn/a__adj
CipA: KA/__v
cIpa: None
Cipa: uT/a__v
cIPajastisa: None
cipakA: KA/__v
cipaka: uT/a__v
CipakalI: None
cIPakamiSnara: None
cipakanevAlA: None
CipAva: None
cirAgagula: None
cirAga: rAw/a__n
cirAgaxAna: None
cira: uT/a__v
cIrA: bAlikA/__adj
cIra: uT/a__v
cirakAla: None
cirakAlika: wIn/a__adj
cirakAlIna: None
cirakumAra: None
ciramiwra: None
ciraMjIva: None
ciraMjIvI: None
cIraPAda: None
cirapoRiwa: None
cirarogI: None
ciraSAMwi: None
ciraSawru: None
cirasevaka: None
cirasmaranIya: None
cirasmaraNIya: wIn/a__adj
cirasWAyI: ajAwI/__adj
cita: rAw/a__n
citaka: None
Citaka: None
CitakAva: None
cittA: None
citTA: kAl/A__adj
citTI: ladak/I__n
citTIpawrI: None
ciuMtI: None
ciuztI: None
ciwacora: None
ciWadA: None
ciwa: wIn/a__adj
ciwA: kAl/A__n
cIwA: bAlikA/__adj
ciwakabarA: None
ciwapata: None
CiwarA: None
ciwavana: None
cIwkAra: None
ciwragupwa: None
ciwrA: kAl/A__n
ciwra: rAw/a__n
ciwrakalA: kAl/A__n
ciwrakAra: rAw/a__n
ciwrakArI: ladak/I__n
ciwrakUta: rAw/a__n
ciwrAMkana: None
ciwraNa: rAw/a__n
ciwrapata: rAw/a__n
ciwraviciwra: None
ciwriNI: None
ciwriwa: wIn/a__adj
ciwrokwi: None
ciwwaBrama: None
ciwwaBrAMwi: None
ciwwaBUmi: None
ciwwa: rAw/a__n
ciwwaSuxXi: None
ciwwavikqwi: None
ciwwavikRepa: None
ciwwavqwwi: None
Cixa: None
Cixra: rAw/a__n
CixrAnveRaNa: None
CixrAnveRI: None
Cixriwa: None
CiyAlIsa: None
CiyAlIsavAz: None
CiyAnave: None
CiyanavevAz: None
CiyAsaTa: None
CiyAsI: None
CiyAsIvAz: None
CIztAkaSI: None
cObIsa: rAw/a__n
cObIsavAz: None
cOdA: None
Coda: uT/a__v
cOdAI: None
cOdI: None
cOGadiyA: None
cogA: None
cOgodA: None
cOgunA: kAl/A__adj
Coha: None
cOhAna: rAw/a__n
cOharA: None
cOhawwara: None
cOhaxxI: None
cOkAbarawana: None
CokadA: None
cOkadI: None
coka: None
cOka: Karc/a__n
coKA: None
cOkA: kAl/A__adj
cOkannA: kAl/A__adj
cokara: None
CokarA: bAlikA/__adj
CokarI: None
cOkasa: wIn/a__adj
cOkasI: ladak/I__n
cOKatA: None
cOKata: rAw/a__n
cOkI: ladak/I__n
cOkIxAra: rAw/a__n
cOkIxArI: None
cOkora: wIn/a__adj
cOKUMtA: None
cOKUzta: None
colA: None
ColA: None
ColaxArI: None
colI: None
cOmaMjilA: None
cOmAsA: None
coMca: None
coMcalA: None
coMcalebAja: None
coMcalebAjI: None
cOMkA: KA/__v
COMka: uT/a__v
cOMka: uT/a__v
cOMkAnevAlA: None
cOmrI: None
cOMsaTa: None
cOMsaTavAz: None
cOmuhAnI: None
comuKA: None
cOMwIsa: None
cOMwIsavAz: None
cOMXiyA: None
cOpahiyA: None
cOpAI: None
cOpAla: None
copAla: None
cOpata: wIn/a__adj
cOpAyA: None
cOPera: None
corabAjAra: None
coracakAra: None
coragalI: None
cOrAhA: kAl/A__adj
cora: rAw/a__n
Cora: rAw/a__n
coraKidakI: None
cOrAnave: None
cOrasa: None
cOrAsI: None
corawAlA: None
coraxaravAjA: None
cOreTA: None
cOrI: None
corI: ladak/I__n
coRya: None
cOrya: None
CotAbadA: None
CotA: kAl/A__adj
cota: rAw/a__n
CotAI: None
CotAmotA: None
CotApana: None
CotIbAwa: None
CotI: ajAwI/__adj
cotI: ladak/I__n
CotIilAyacI: None
CotIjAwi: None
cotIvAlA: None
cotIxAra: None
cOvAlIsa: None
cOvana: None
cOWa: Karc/a__n
cOWA: kAl/A__adj
cOWAI: ladak/I__n
cOwAla: None
cOwaraPA: bAlikA/__adj
cOWI: ajAwI/__adj
cOxaha: wIn/a__adj
cOxahavAz: None
coxana: None
cOXarI: ladak/I__n
coxiwa: None
cozca: None
cozgA: None
CuACUwa: rAw/a__n
CuA: W/A__v
cuBA: None
cuBa: uT/a__v
CUCA: kAl/A__adj
CudA: None
cUdA: None
CudavA: None
cudEla: None
cudihArA: None
cUdI: None
cUdIxAra: None
cuga: None
cugalaKora: None
cugalaKorI: None
cugalI: None
cUhA: kAl/A__adj
cuhalabAjI: None
cuhala: None
CuhArA: None
cUhexAnI: None
cU: C/U__v
CU: C/U__v
CuImuI: ladak/I__n
cUjA: kAl/A__adj
cUjI: None
cukA: KA/__v
cUka: uT/a__v
cuka: uT/a__v
cukaMxara: rAw/a__n
cukawA: None
cukkada: None
cukOwI: None
culabulA: None
culabulApana: None
cUla: None
cUlhA: kAl/A__adj
cullUBara: None
cullU: None
cUma: uT/a__v
cumakAra: None
CUmaMwara: rAw/a__n
cuMbaka: None
cuMbakawva: None
cuMbakIya: wIn/a__adj
cuMbana: rAw/a__n
cuMbiwa: None
cuMgI: ladak/I__n
cunacunAhata: None
cunacunI: None
cUnA: kAl/A__n
cuna: uT/a__v
cUnApawWara: rAw/a__n
cunarI: None
cunAva: rAw/a__n
cuniMxA: bAlikA/__adj
cunnata: None
cunOtI: None
cunOwI: ladak/I__n
cupada: None
cupa: uT/a__v
Cupa: Karc/a__n
cuppA: kAl/A__adj
cuppI: ladak/I__n
cUra: None
curA: KA/__v
CurA: kAl/A__n
CUrA: None
cUrA: kAl/A__n
cUramA: None
curamurA: None
cUrana: None
curAva: None
CurI: ladak/I__n
cUrNa: None
cUrNiwa: None
cusA: None
cusa: None
cUsa: uT/a__v
cusakI: None
cuswa: rAw/a__n
cuswI: None
Cuta: rAw/a__n
CUta: uT/a__v
CutakArA: kAl/A__n
cutakI: ladak/I__n
cutakulA: None
Cutapana: None
cutIlA: kAl/A__adj
CuttA: kAl/A__adj
CuttI: ladak/I__n
cUwada: None
CUwa: Karc/a__n
cUwiyA: None
CuXA: None
cuzXiyA: None
cyavanaprASa: None
cyuwa: None
cyuwi: None
dabadabA: None
Daba: None
DAbA: None
dabala: wIn/a__adj
dAbara: None
dabbAbaMxa: None
dabbAbaMxI: None
dabbA: None
daca: rAw/a__n
dADa: None
DADasa: None
dADI: None
dagadagA: None
dagA: None
daga: None
dagamaga: None
dagamagA: KA/__v
dagara: rAw/a__n
dAha: None
DahA: None
Daha: uT/a__v
DahavA: None
DA: KA/__v
da: Karc/a__n
Da: None
dA: kAl/A__n
DAI: ajAwI/__adj
dAI: None
dAina: None
dAirektara: None
dAirektarI: None
dAkacOkI: None
dAkaGara: rAw/a__n
dAka: rAw/a__n
DAka: None
dAkA: bAlikA/__adj
Daka: uT/a__v
DakanA: kAl/A__adj
dakAra: None
dAkaSulka: None
dAkatikata: None
Dakela: uT/a__v
dakEwa: rAw/a__n
dakEwI: ladak/I__n
dAkiyA: None
Dakkana: rAw/a__n
DakosalA: None
dAktara: rAw/a__n
dAktarI: ladak/I__n
dAkU: bah/U__n
DAla: uT/a__v
dAla: uT/a__v
Dala: uT/a__v
DalAI: ladak/I__n
DalakA: None
Dalaka: None
DalAna: rAw/a__n
dAlara: rAw/a__n
dalavA: KA/__v
DalavAz: ku/Az__n
dAlI: ladak/I__n
daliyA: None
DaluAz: None
DAlU: None
damarU: bah/U__n
daMdA: kAl/A__adj
DaMga: rAw/a__n
daMka: None
daMkA: bAlikA/__adj
DaMka: uT/a__v
daMTala: rAw/a__n
daPalI: None
dapata: None
dapora: None
darA: KA/__v
dara: uT/a__v
darapoka: None
darAvanA: None
DarrA: kAl/A__adj
dasA: None
dasa: uT/a__v
dastara: None
datA: W/A__v
dAta: rAw/a__n
data: uT/a__v
dAyala: rAw/a__n
dAyana: rAw/a__n
dAyarI: ladak/I__n
DAzcA: kAl/A__adj
DazDoracI: None
Dazka: None
DAzka: None
DAzpa: None
dazsa: None
dAzta: None
dAzvAdola: None
deDa: None
DelAcOWa: None
DelA: None
delatA: None
deputeSana: None
Dera: rAw/a__n
derA: kAl/A__adj
derI: None
deska: rAw/a__n
devaDA: None
deyarI: ladak/I__n
DezkI: None
DibarI: None
dibbAbaMxa: None
dibbA: kAl/A__adj
dibiyA: None
digA: None
diga: None
digarI: None
digrI: ladak/I__n
dIha: None
dijAina: rAw/a__n
dIjala: rAw/a__n
dikSanarI: None
dIladOla: None
dIla: rAw/a__n
DIla: rAw/a__n
DIlA: kAl/A__n
DilAI: ladak/I__n
DIlApana: None
dilivarI: None
dimAI: None
diMBa: None
diMbASaya: None
dImga: None
dIna: rAw/a__n
dinara: None
diPeMsa: rAw/a__n
diplomA: None
dipo: redio/__n
diptI: ladak/I__n
disamisa: None
distrikta: rAw/a__n
DITa: None
DiTAI: None
DizDorA: None
dogarI: ladak/I__n
Do: h/o__v
dolacI: None
dOla: rAw/a__n
Dola: rAw/a__n
dolA: kAl/A__adj
DolA: None
dola: uT/a__v
Dolaka: None
dolI: ladak/I__n
doma: None
dOMdI: None
DoMga: None
DoMgI: None
dorA: None
dora: None
dorI: None
dosA: kAl/A__adj
DozgabAja: None
DozgabAjI: None
drAiMga: None
drAivara: rAw/a__n
drama: None
drAmA: kAl/A__adj
drAPta: rAw/a__n
drena: None
dresa: rAw/a__n
drila: None
droXI: None
dubA: KA/__v
dUba: uT/a__v
dubakI: ladak/I__n
dugadugA: None
dugadugI: None
dulA: None
DulAI: ladak/I__n
Dulaka: None
Dulamula: wIn/a__adj
DulavA: None
DUzDa: None
dyoDA: None
dyoDI: None
dyutI: None
dyUtI: ladak/I__n
Eba: None
EbI: None
EcCika: None
eda: rAw/a__n
Edaministretara: None
edavoketa: rAw/a__n
Edavoketa: None
Edavoketajenarala: None
edI: None
ediSanala: wIn/a__adj
editara: rAw/a__n
edItara: None
egjibiSana: None
EhalOkika: None
ehasAna: rAw/a__n
ehasAnamaMxa: None
ehasAsa: rAw/a__n
ehawiyAwa: rAw/a__n
ehawiyAwI: ajAwI/__adj
Ehika: None
E: None
ejaMsI: None
ejaMta: None
ejeMsI: ladak/I__n
ejeMta: rAw/a__n
ekaAXa: None
ekaBAva: None
ekaBukwa: None
ekacakra: None
ekacara: None
ekacAriNI: None
ekaciwwa: None
ekada: None
ekadAla: None
ekademI: None
ekaeka: None
ekAgraciwwa: None
ekAgra: None
EkAgra: None
ekAgrawA: None
ekAgraxqRti: None
ekaharA: None
eka: Karc/a__n
ekA: kAl/A__n
ekajAna: None
ekajIva: None
ekajuta: rAw/a__n
ekaka: rAw/a__n
ekakaMTa: None
ekakara: None
ekAkAra: wIn/a__adj
ekAkI: None
ekAkinI: None
ekAkIpana: None
ekAkRa: None
ekAkRara: None
ekAkRarI: None
ekala: wIn/a__adj
ekalOwA: None
ekamaMjilA: None
ekamawa: wIn/a__adj
ekamAwra: wIn/a__adj
Ekamawya: None
ekAMga: None
ekAMgI: None
ekAMkI: None
ekAMwa: rAw/a__n
ekAMwara: None
ekAMwasvarUpa: None
ekAMwavAsa: rAw/a__n
ekAMwika: None
EkAMwika: None
ekaniRTA: None
ekannI: None
ekAnurUpa: None
ekapakRIya: None
Ekapawya: None
ekapaxI: None
ekaPEsalA: None
ekAra: None
EkAra: None
ekaraMga: None
ekaraMgA: None
ekarasa: None
ekarAya: None
ekarUpa: None
ekArWa: None
ekArWaka: None
ekasamAna: None
ekasAWa: wIn/a__adj
ekasUwrIkaraNa: None
ekAuMteMta: rAw/a__n
ekavacana: None
ekavAkya: None
ekavAkyawA: None
ekawA: kAl/A__n
ekawAlikA: None
ekawallA: None
ekawAna: None
ekawAra: None
ekawArA: None
ekawaraPA: bAlikA/__adj
ekAwma: None
ekAwmawA: None
EkAwmya: None
ekawra: rAw/a__n
ekawrIkaraNa: rAw/a__n
ekawriwa: wIn/a__adj
ekawva: None
ekAXa: wIn/a__adj
ekAxaSa: wIn/a__adj
ekAxaSI: ladak/I__n
ekaxeSI: None
ekAXika: wIn/a__adj
ekAXikAra: rAw/a__n
ekaxila: None
ekaxilI: None
ekAXipawya: rAw/a__n
ekeSvaravAxa: None
ekIBAva: None
ekIBUwa: None
ekIkaraNa: rAw/a__n
ekIkqwa: wIn/a__adj
ekkA: None
ekkAxukkA: None
ekoxxiRta: None
eksa: rAw/a__n
eksAija: rAw/a__n
ekSana: rAw/a__n
eksapresa: rAw/a__n
Ekta: None
Ektara: rAw/a__n
Ekya: rAw/a__n
ela: rAw/a__n
elAna: None
ElAna: rAw/a__n
elArma: None
ema: rAw/a__n
eMbuleMsa: None
EMcA: None
EMcAwAnA: None
EMcAwAnI: None
EMgloiMdiyana: None
EMTa: uT/a__v
EMTana: rAw/a__n
EMxrajAla: None
EMxrajAlika: None
EMxrI: None
EMxriya: None
Ena: wIn/a__adj
Enaka: None
eraMda: None
ErAvawa: None
eriyala: rAw/a__n
erodrama: None
ESa: rAw/a__n
EsA: kAl/A__adj
EsAvEsA: None
eseMblI: None
esida: None
EsI: ajAwI/__adj
eSiyA: kAl/A__n
eSiyAI: ajAwI/__adj
esosieSana: rAw/a__n
ESvarya: rAw/a__n
Etalasa: None
etama: None
Etama: None
etamI: ajAwI/__adj
eva: None
evaja: rAw/a__n
evajI: None
ewabAra: None
ewarAja: rAw/a__n
Ewareya: None
EwareyI: None
ewavAra: None
ewAxqSI: None
ewaxxeSIya: None
EwihAsika: wIn/a__adj
Ewihya: None
eXiwa: None
eyaragana: None
eyara: rAw/a__n
eyarakrAPta: rAw/a__n
eyaramela: None
eyaramEna: None
eyaraPorsa: None
eyarareda: None
eyaratAita: None
EyASa: None
EyASI: None
EzcAwAnI: None
fa: None
GabadAhata: None
GabadA: None
gabana: rAw/a__n
GabarAhata: rAw/a__n
GabarA: KA/__v
gabbara: rAw/a__n
gACa: None
gadabada: None
gadabadA: None
gadabadI: None
gadagadAhata: None
GadaGadAhata: None
gadagadA: None
GadaGadA: None
GadaGada: None
gaDA: None
gadA: None
gADA: None
GadA: None
gada: None
gaDa: None
gAda: None
gaDAI: None
gaDaMwa: None
gadariyA: None
gaDavA: None
gaDavAla: rAw/a__n
gaddA: bAlikA/__adj
gadDA: kAl/A__adj
gaddI: None
gaDI: None
gAdI: None
GadI: None
gAdIKAnA: None
GadIsAja: None
GadIsAjI: None
gAdIvAna: None
GadiyAla: None
GAGa: rAw/a__n
gaganaBavana: None
gaganacara: None
gaganacuMbI: ajAwI/__adj
gaganagaDa: None
gagana: None
gaganakusuma: None
gaganavAtikA: None
GaGarA: None
GAGarA: kAl/A__n
gAgara: None
GaGarI: None
gagarI: ladak/I__n
gAhaka: None
gAhakI: None
gahana: wIn/a__adj
gahanA: kAl/A__adj
gaharA: kAl/A__n
gaharAI: ladak/I__n
gaharAna: Karc/a__n
gaharI: ajAwI/__adj
gahvara: None
gAida: rAw/a__n
gA: KA/__v
ga: rAw/a__n
Ga: None
gajaba: rAw/a__n
gAja: rAw/a__n
gaja: rAw/a__n
gajaka: None
gajakuMBa: None
gajala: rAw/a__n
gajAnana: None
gajarA: None
gAjara: rAw/a__n
gajarAja: None
gAjaramUlI: None
gajata: rAw/a__n
gajeMxra: None
galAGoMtU: None
gAla: rAw/a__n
galA: kAl/A__adj
gala: uT/a__v
GAlaka: None
GAlakawA: None
galanAMka: None
galasuA: None
galawaaMxAja: None
galawa: wIn/a__adj
galawaPahamI: ladak/I__n
galawI: ladak/I__n
galIcA: None
gAlIgalOja: None
galI: ladak/I__n
gAlI: ladak/I__n
galIkUcA: None
galiwa: None
galiyArA: kAl/A__adj
gallA: None
gamaCA: kAl/A__adj
gamagIna: wIn/a__adj
gama: rAw/a__n
GAma: None
gAmaka: None
GamAkA: None
gamaka: None
gamalA: None
GamaMda: rAw/a__n
GamaMdI: None
gamanAgamana: None
gamana: None
gamanIya: None
GamAsAna: wIn/a__adj
GamasAna: None
gaMBIra: wIn/a__adj
gaMda: None
gaMdA: None
gaMdaka: None
gaMdakI: None
gAMdIva: None
gaMdURa: None
gaMgA: kAl/A__n
gaMgAjala: rAw/a__n
gaMgAkRewra: None
gaMgApUjA: None
gaMgApuwra: None
gaMgAsAgara: None
gaMgAvAsI: None
gaMgAvawaraNa: None
gaMgAxvAra: None
gaMgowwarI: None
gAmI: None
gaMja: rAw/a__n
gaMjA: None
gaMjI: None
GamorI: None
GaMtAGara: None
GaMtA: kAl/A__adj
GaMtAkroXa: None
GaMtevAra: None
GaMtI: ladak/I__n
GaMtikA: None
gaMwA: None
gaMWakAra: None
gaMWAlaya: None
gaMWamAlA: None
gaMWAvalI: None
gaMwavya: wIn/a__adj
gaMXADya: None
gaMxagI: ladak/I__n
gaMXa: None
gaMxA: kAl/A__adj
gaMXaka: None
gAMXAra: rAw/a__n
gaMXAra: None
gAMXArI: None
gaMXarva: None
gaMXarvaKaMda: None
gaMXarvaloka: None
gaMXarvarAja: None
gaMXarvaroga: None
gaMXarvavexa: None
gaMXarvavivAha: None
gaMXarvavixyA: None
gaMXarvina: None
gaMXavawI: None
gAMXI: ladak/I__n
gamya: None
gamyA: None
Ganacakkara: wIn/a__adj
GanaGanA: W/A__v
Ganagarjiwa: None
GanaGora: wIn/a__adj
Gana: Karc/a__n
gAna: Karc/a__n
gaNa: rAw/a__n
GAna: None
GanA: kAl/A__n
gAnA: kAl/A__adj
gaNaka: None
GanamUla: None
GanAMXakAra: None
gaNanA: kAl/A__n
gaNanIya: None
GanaPala: None
GanApana: None
gaNaparvawa: None
gANapawya: None
GanaSyAma: wIn/a__adj
Ganavarga: None
gAnavAxya: None
gAnavixyA: None
gaNawaMwra: rAw/a__n
gaNawaMwravAxI: None
gaNawaMwraxivasa: None
Ganawva: rAw/a__n
gaNAXipa: None
gaNAXipawi: None
gaNAXyakRa: None
gaNeSacawurWI: None
gaNeSacOWa: None
gaNeSa: rAw/a__n
gaNeSapurANa: None
GanIBUwa: wIn/a__adj
GAnI: None
gaNikA: None
ganImawa: rAw/a__n
GaniRTa: None
GaniRTawA: kAl/A__n
GaniRTwA: None
gaNiwa: rAw/a__n
gaNiwavixyA: None
gaNiwIya: None
gannA: kAl/A__adj
ganxA: kAl/A__adj
ganxI: ajAwI/__adj
gaNya: None
gaNyamAnya: None
gapa: rAw/a__n
GapalA: kAl/A__adj
gaPalawa: rAw/a__n
gapaSapa: rAw/a__n
gapodA: None
gappI: None
GarabArI: None
GarAhata: None
Gara: rAw/a__n
arXAMSa: None
gArA: bAlikA/__adj
garaja: uT/a__v
garala: None
garamAgarama: wIn/a__adj
garamAgaramI: None
garama: wIn/a__adj
garamA: W/A__v
garamaKabara: None
garamakapadA: None
garamamasAlA: kAl/A__adj
garamamijAja: None
garamI: ladak/I__n
gAraMtI: ladak/I__n
GarAnA: kAl/A__adj
garArA: bAlikA/__adj
GaravAlA: kAl/A__adj
GaravAlI: ladak/I__n
GarAwI: None
gAraxa: None
garaxana: None
garaxanI: None
garBagqha: rAw/a__n
garBahawyA: None
garBa: rAw/a__n
garBakAla: None
garBalakRaNa: None
garBASaya: rAw/a__n
garBavawI: ajAwI/__adj
garBAXAna: None
garBaXAraNa: None
garBiNI: None
gArda: rAw/a__n
gArdana: rAw/a__n
GarelU: bah/U__n
garga: rAw/a__n
gArgeya: None
gArgeyI: None
gArgI: ladak/I__n
gArhasWya: None
garhiwa: None
garIbagurabA: None
garIba: rAw/a__n
garIbaKAnA: None
garIbanivAja: None
garIbI: ladak/I__n
garI: None
garimA: kAl/A__n
gariRTa: None
garja: None
garjanA: kAl/A__n
garjana: None
GarkroXa: None
garma: wIn/a__adj
garmajoSI: ladak/I__n
